Model_ID,Title,Sef_Url,Meta_Title,Meta_Keywords,Meta_Description,Meta_Canonical_URL
18,"Samsung Galaxy J7 Repair",galaxy-series-repair-continued,"Samsung Galaxy J7 Repair","Samsung Galaxy J7 Repair","Samsung Galaxy J7 Repair",
19,"Samsung Galaxy E7 Repair",galaxy-series,"Samsung Galaxy E7 Repair","Samsung Galaxy E7 Repair","Samsung Galaxy E7 Repair",
20,"Samsung Note 8.0 (N5100) Repair",samsung-note-repair,"Samsung Note 8.0 (N5100) Repair","Samsung Note 8.0 (N5100) Repair","Samsung Note 8.0 (N5100) Repair",
21,"Samsung Galaxy Mega 5.8"" I9150 Repair",galaxy-series-repair-continued,"Samsung Galaxy Mega 5.8"" I9150 Repair","Samsung Galaxy Mega 5.8"" I9150 Repair","Samsung Galaxy Mega 5.8"" I9150 Repair",
22,"Samsung Note 10.1 (N8000) Repair",samsung-note-repair,"Samsung Note 10.1 (N8000) Repair","Samsung Note 10.1 (N8000) Repair","Samsung Note 10.1 (N8000) Repair",
23,"Samsung Note 2 LTE (N7105) Repair",samsung-note-repair,"Samsung Note 2 LTE (N7105) Repair","Samsung Note 2 LTE (N7105) Repair","Samsung Note 2 LTE (N7105) Repair",
24,"Samsung Galaxy Note 2014 10.1"" (P600) Repair",samsung-note-repair,"Samsung Galaxy Note 2014 10.1"" (P600) Repair","Samsung Galaxy Note 2014 10.1"" (P600) Repair","Samsung Galaxy Note 2014 10.1"" (P600) Repair",
25,"Samsung Note 2 (N7100) Repair",samsung-note-repair,"Samsung Note 2 (N7100) Repair","Samsung Note 2 (N7100) Repair","Samsung Note 2 (N7100) Repair",
26,"Samsung Note (N7000) Repair",samsung-note-repair,"Samsung Note (N7000) Repair","Samsung Note (N7000) Repair","Samsung Note (N7000) Repair",
27,"Samsung Galaxy Note 4 Repair",samsung-note-repair,"Samsung Galaxy Note 4 Repair","Samsung Galaxy Note 4 Repair","Samsung Galaxy Note 4 Repair",
28,"Samsung Galaxy Note 8 Repair",samsung-note-repair,"Samsung Galaxy Note 8 Repair","Samsung Galaxy Note 8 Repair","Samsung Galaxy Note 8 Repair",
29,"Samsung Galaxy Note9",samsung-note-repair,"Samsung Galaxy Note9","Samsung Galaxy Note9","Samsung Galaxy Note9",
30,"Samsung Note 3 (N9000) Repair",samsung-note-repair,"Samsung Note 3 (N9000) Repair","Samsung Note 3 (N9000) Repair","Samsung Note 3 (N9000) Repair",
31,"Samsung Galaxy Note 5 Repair",samsung-note-repair,"Samsung Galaxy Note 5 Repair","Samsung Galaxy Note 5 Repair","Samsung Galaxy Note 5 Repair",
32,"Samsung Galaxy E5 Repair",galaxy-series,"Samsung Galaxy E5 Repair","Samsung Galaxy E5 Repair","Samsung Galaxy E5 Repair",
33,"Samsung Galaxy C9 Pro Repair",galaxy-series,"Samsung Galaxy C9 Pro Repair","Samsung Galaxy C9 Pro Repair","Samsung Galaxy C9 Pro Repair",
34,"Samsung Galaxy Alpha Repair",galaxy-series,"Samsung Galaxy Alpha Repair","Samsung Galaxy Alpha Repair","Samsung Galaxy Alpha Repair",
35,"Samsung Galaxy Note Edge Repair",samsung-note-repair,"Samsung Galaxy Note Edge Repair","Samsung Galaxy Note Edge Repair","Samsung Galaxy Note Edge Repair",
36,"Samsung Galaxy A8 Repair",galaxy-series,"Samsung Galaxy A8 Repair","Samsung Galaxy A8 Repair","Samsung Galaxy A8 Repair",
37,"Samsung Galaxy A7 2017 Repairs",galaxy-series,"Samsung Galaxy A7 2017 Repairs","Samsung Galaxy A7 2017 Repairs","Samsung Galaxy A7 2017 Repairs",
38,"Samsung Galaxy A5 (2016) Repair",galaxy-series,"Samsung Galaxy A5 (2016) Repair","Samsung Galaxy A5 (2016) Repair","Samsung Galaxy A5 (2016) Repair",
39,"Samsung Galaxy A5 A500F Repair",galaxy-series,"Samsung Galaxy A5 A500F Repair","Samsung Galaxy A5 A500F Repair","Samsung Galaxy A5 A500F Repair",
40,"Samsung Galaxy A7 Repair",galaxy-series,"Samsung Galaxy A7 Repair","Samsung Galaxy A7 Repair","Samsung Galaxy A7 Repair",
41,"Samsung Galaxy A9 2018 Repair",galaxy-series,"Samsung Galaxy A9 2018 Repair","Samsung Galaxy A9 2018 Repair","Samsung Galaxy A9 2018 Repair",
42,"Samsung Galaxy A5 2017 Repairs",galaxy-series,"Samsung Galaxy A5 2017 Repairs","Samsung Galaxy A5 2017 Repairs","Samsung Galaxy A5 2017 Repairs",
43,"Samsung Galaxy A3 SM-A310F (2016) Repair",galaxy-series,"Samsung Galaxy A3 SM-A310F (2016) Repair","Samsung Galaxy A3 SM-A310F (2016) Repair","Samsung Galaxy A3 SM-A310F (2016) Repair",
44,"Samsung Galaxy Ace 4 Repair",galaxy-series,"Samsung Galaxy Ace 4 Repair","Samsung Galaxy Ace 4 Repair","Samsung Galaxy Ace 4 Repair",
45,"Samsung Galaxy A3 2017 Repairs",galaxy-series,"Samsung Galaxy A3 2017 Repairs","Samsung Galaxy A3 2017 Repairs","Samsung Galaxy A3 2017 Repairs",
46,"Samsung Galaxy A3 Repair",galaxy-series,"Samsung Galaxy A3 Repair","Samsung Galaxy A3 Repair","Samsung Galaxy A3 Repair",
47,"HTC Desire 728 Ultra Repairs",desire-repair,"HTC Desire 728 Ultra Repairs","HTC Desire 728 Ultra Repairs","HTC Desire 728 Ultra Repairs",
48,"HTC Desire 650 Repairs",desire-repair,"HTC Desire 650 Repairs","HTC Desire 650 Repairs","HTC Desire 650 Repairs",
49,"HTC Desire 630 Repairs",desire-repair,"HTC Desire 630 Repairs","HTC Desire 630 Repairs","HTC Desire 630 Repairs",
50,"HTC Desire 628 Repairs",desire-repair,"HTC Desire 628 Repairs","HTC Desire 628 Repairs","HTC Desire 628 Repairs",
51,"HTC Desire 820 Repair",desire-repair,"HTC Desire 820 Repair","HTC Desire 820 Repair","HTC Desire 820 Repair",
52,"HTC Desire 626 Repair",desire-repair,"HTC Desire 626 Repair","HTC Desire 626 Repair","HTC Desire 626 Repair",
53,"HTC Desire 620 Repair",desire-repair,"HTC Desire 620 Repair","HTC Desire 620 Repair","HTC Desire 620 Repair",
54,"HTC Desire 530 Repair",desire-repair,"HTC Desire 530 Repair","HTC Desire 530 Repair","HTC Desire 530 Repair",
55,"HTC U12+ Repair",htc-other-repair,"HTC U12+ Repair","HTC U12+ Repair","HTC U12+ Repair",
56,"HTC Desire 510 Repair",desire-repair,"HTC Desire 510 Repair","HTC Desire 510 Repair","HTC Desire 510 Repair",
57,"HTC Desire 12 Repair",desire-repair,"HTC Desire 12 Repair","HTC Desire 12 Repair","HTC Desire 12 Repair",
58,"HTC Desire 10 Pro Repairs",desire-repair,"HTC Desire 10 Pro Repairs","HTC Desire 10 Pro Repairs","HTC Desire 10 Pro Repairs",
59,"HTC U12 life Repair",htc-other-repair,"HTC U12 life Repair","HTC U12 life Repair","HTC U12 life Repair",
60,"HTC U Ultra Repair",htc-other-repair,"HTC U Ultra Repair","HTC U Ultra Repair","HTC U Ultra Repair",
61,"HTC U11 Eyes Repairs",htc-other-repair,"HTC U11 Eyes Repairs","HTC U11 Eyes Repairs","HTC U11 Eyes Repairs",
62,"HTC U Play Repair",htc-other-repair,"HTC U Play Repair","HTC U Play Repair","HTC U Play Repair",
63,"HTC U11 Repairs",htc-other-repair,"HTC U11 Repairs","HTC U11 Repairs","HTC U11 Repairs",
64,"HTC U11+ Repairs",htc-other-repair,"HTC U11+ Repairs","HTC U11+ Repairs","HTC U11+ Repairs",
65,"HTC Butterfly 3 Repairs",htc-other-repair,"HTC Butterfly 3 Repairs","HTC Butterfly 3 Repairs","HTC Butterfly 3 Repairs",
66,"HTC Bolt Repair",htc-other-repair,"HTC Bolt Repair","HTC Bolt Repair","HTC Bolt Repair",
67,"HTC Desire 10 Lifestyle Repairs",desire-repair,"HTC Desire 10 Lifestyle Repairs","HTC Desire 10 Lifestyle Repairs","HTC Desire 10 Lifestyle Repairs",
68,"HTC 10 Evo Repairs",htc-other-repair,"HTC 10 Evo Repairs","HTC 10 Evo Repairs","HTC 10 Evo Repairs",
69,"Samsung Galaxy J2 Repair",galaxy-series-repair-continued,"Samsung Galaxy J2 Repair","Samsung Galaxy J2 Repair","Samsung Galaxy J2 Repair",
70,"Samsung Galaxy J3 2016 Repair",galaxy-series-repair-continued,"Samsung Galaxy J3 2016 Repair","Samsung Galaxy J3 2016 Repair","Samsung Galaxy J3 2016 Repair",
71,"Samsung Galaxy J5 2016 Repair",galaxy-series-repair-continued,"Samsung Galaxy J5 2016 Repair","Samsung Galaxy J5 2016 Repair","Samsung Galaxy J5 2016 Repair",
72,"Samsung Galaxy J5 Repair",galaxy-series-repair-continued,"Samsung Galaxy J5 Repair","Samsung Galaxy J5 Repair","Samsung Galaxy J5 Repair",
73,"Samsung Galaxy J1 Repair",galaxy-series-repair-continued,"Samsung Galaxy J1 Repair","Samsung Galaxy J1 Repair","Samsung Galaxy J1 Repair",
74,"Samsung Galaxy J1 Ace Repair",galaxy-series-repair-continued,"Samsung Galaxy J1 Ace Repair","Samsung Galaxy J1 Ace Repair","Samsung Galaxy J1 Ace Repair",
75,"Samsung Galaxy Grand 2 Repair",galaxy-series-repair-continued,"Samsung Galaxy Grand 2 Repair","Samsung Galaxy Grand 2 Repair","Samsung Galaxy Grand 2 Repair",
76,"Samsung Tab 2 7.0 (P3100) Repair",samsung-tab-repair,"Samsung Tab 2 7.0 (P3100) Repair","Samsung Tab 2 7.0 (P3100) Repair","Samsung Tab 2 7.0 (P3100) Repair",
77,"Samsung Galaxy Grand Prime Repair",galaxy-series-repair-continued,"Samsung Galaxy Grand Prime Repair","Samsung Galaxy Grand Prime Repair","Samsung Galaxy Grand Prime Repair",
78,"Samsung Galaxy Grand Neo Repair",galaxy-series-repair-continued,"Samsung Galaxy Grand Neo Repair","Samsung Galaxy Grand Neo Repair","Samsung Galaxy Grand Neo Repair",
79,"Samsung Tab 2 10.1 (P5100) Repair",samsung-tab-repair,"Samsung Tab 2 10.1 (P5100) Repair","Samsung Tab 2 10.1 (P5100) Repair","Samsung Tab 2 10.1 (P5100) Repair",
80,"Samsung Tab 3 7.0 (T2100/T2105) Repair",samsung-tab-repair,"Samsung Tab 3 7.0 (T2100/T2105) Repair","Samsung Tab 3 7.0 (T2100/T2105) Repair","Samsung Tab 3 7.0 (T2100/T2105) Repair",
81,"Samsung Tab A 9.7 P550 Repair",samsung-tab-repair,"Samsung Tab A 9.7 P550 Repair","Samsung Tab A 9.7 P550 Repair","Samsung Tab A 9.7 P550 Repair",
82,"Samsung Tab A 9.7 T550 Repair",samsung-tab-repair,"Samsung Tab A 9.7 T550 Repair","Samsung Tab A 9.7 T550 Repair","Samsung Tab A 9.7 T550 Repair",
83,"Samsung Galaxy Tab 4 7.0 (T230) Repair",samsung-tab-repair,"Samsung Galaxy Tab 4 7.0 (T230) Repair","Samsung Galaxy Tab 4 7.0 (T230) Repair","Samsung Galaxy Tab 4 7.0 (T230) Repair",
84,"Samsung Tab 3 8.0 (T315) Repair",samsung-tab-repair,"Samsung Tab 3 8.0 (T315) Repair","Samsung Tab 3 8.0 (T315) Repair","Samsung Tab 3 8.0 (T315) Repair",
85,"Samsung Galaxy Tab 4 10.1 (T530) Repair",samsung-tab-repair,"Samsung Galaxy Tab 4 10.1 (T530) Repair","Samsung Galaxy Tab 4 10.1 (T530) Repair","Samsung Galaxy Tab 4 10.1 (T530) Repair",
86,"Samsung Galaxy Tab S2 (8.0, T710) Repair",samsung-tab-repair,"Samsung Galaxy Tab S2 (8.0, T710) Repair","Samsung Galaxy Tab S2 (8.0, T710) Repair","Samsung Galaxy Tab S2 (8.0, T710) Repair",
87,"Samsung Galaxy Tab S2 (9.7, T810) Repair",samsung-tab-repair,"Samsung Galaxy Tab S2 (9.7, T810) Repair","Samsung Galaxy Tab S2 (9.7, T810) Repair","Samsung Galaxy Tab S2 (9.7, T810) Repair",
88,"Samsung Galaxy Tab A (7.0, T450)",samsung-tab-repair,"Samsung Galaxy Tab A (7.0, T450)","Samsung Galaxy Tab A (7.0, T450)","Samsung Galaxy Tab A (7.0, T450)",
89,"Samsung Galaxy Tab S 8.4 (SM-T705/T700) Repair",samsung-tab-repair,"Samsung Galaxy Tab S 8.4 (SM-T705/T700) Repair","Samsung Galaxy Tab S 8.4 (SM-T705/T700) Repair","Samsung Galaxy Tab S 8.4 (SM-T705/T700) Repair",
90,"Samsung Galaxy Tab S 10.5 (SM-T800,T804,T805) Repair",samsung-tab-repair,"Samsung Galaxy Tab S 10.5 (SM-T800,T804,T805) Repair","Samsung Galaxy Tab S 10.5 (SM-T800,T804,T805) Repair","Samsung Galaxy Tab S 10.5 (SM-T800,T804,T805) Repair",
91,"iPod Nano 7th Gen Repair",ipod-repairs,"iPod Nano 7th Gen Repair","iPod Nano 7th Gen Repair","iPod Nano 7th Gen Repair",
92,"iPod Touch 3rd Gen Repair",ipod-repairs,"iPod Touch 3rd Gen Repair","iPod Touch 3rd Gen Repair","iPod Touch 3rd Gen Repair",
93,"iPod Touch 4th Gen Repair",ipod-repairs,"iPod Touch 4th Gen Repair","iPod Touch 4th Gen Repair","iPod Touch 4th Gen Repair",
94,"Apple Watch 1st Gen 38mm",apple-watch-repairs,"Apple Watch 1st Gen 38mm","Apple Watch 1st Gen 38mm","Apple Watch 1st Gen 38mm",
95,"iPod Touch 5th Gen Repair",ipod-repairs,"iPod Touch 5th Gen Repair","iPod Touch 5th Gen Repair","iPod Touch 5th Gen Repair",
96,"Apple Watch 1st Gen 42mm",apple-watch-repairs,"Apple Watch 1st Gen 42mm","Apple Watch 1st Gen 42mm","Apple Watch 1st Gen 42mm",
97,"MacBook Pro 17"" (A1297)",macbook-repair,"MacBook Pro 17"" (A1297)","MacBook Pro 17"" (A1297)","MacBook Pro 17"" (A1297)",
98,"Apple Watch Series 4 40mm Repair",apple-watch-repairs,"Apple Watch Series 4 40mm Repair","Apple Watch Series 4 40mm Repair","Apple Watch Series 4 40mm Repair",
99,"Apple Watch Series 4 44mm Repair",apple-watch-repairs,"Apple Watch Series 4 44mm Repair","Apple Watch Series 4 44mm Repair","Apple Watch Series 4 44mm Repair",
100,"Apple Watch 2nd Gen 42mm Repair",apple-watch-repairs,"Apple Watch 2nd Gen 42mm Repair","Apple Watch 2nd Gen 42mm Repair","Apple Watch 2nd Gen 42mm Repair",
101,"Apple Watch 2nd Gen 38mm Repair",apple-watch-repairs,"Apple Watch 2nd Gen 38mm Repair","Apple Watch 2nd Gen 38mm Repair","Apple Watch 2nd Gen 38mm Repair",
102,"MacBook Pro 15"" Retina display (A1398)",macbook-repair,"MacBook Pro 15"" Retina display (A1398)","MacBook Pro 15"" Retina display (A1398)","MacBook Pro 15"" Retina display (A1398)",
103,"Apple Watch 3rd Gen 42mm Repair",apple-watch-repairs,"Apple Watch 3rd Gen 42mm Repair","Apple Watch 3rd Gen 42mm Repair","Apple Watch 3rd Gen 42mm Repair",
104,"Apple Watch 3rd Gen 38mm Repair",apple-watch-repairs,"Apple Watch 3rd Gen 38mm Repair","Apple Watch 3rd Gen 38mm Repair","Apple Watch 3rd Gen 38mm Repair",
105,"MacBook Pro 13"" (A1278/A1342)",macbook-repair,"MacBook Pro 13"" (A1278/A1342)","MacBook Pro 13"" (A1278/A1342)","MacBook Pro 13"" (A1278/A1342)",
106,"MacBook Pro 13"" Retina Display (A1425)",macbook-repair,"MacBook Pro 13"" Retina Display (A1425)","MacBook Pro 13"" Retina Display (A1425)","MacBook Pro 13"" Retina Display (A1425)",
107,"MacBook Air 13.3"" (A1466/A1369)",macbook-repair,"MacBook Air 13.3"" (A1466/A1369)","MacBook Air 13.3"" (A1466/A1369)","MacBook Air 13.3"" (A1466/A1369)",
108,"MacBook Air 13.3"" (A1237/ A1304)",macbook-repair,"MacBook Air 13.3"" (A1237/ A1304)","MacBook Air 13.3"" (A1237/ A1304)","MacBook Air 13.3"" (A1237/ A1304)",
109,"MacBook Air 11"" (A1370)",macbook-repair,"MacBook Air 11"" (A1370)","MacBook Air 11"" (A1370)","MacBook Air 11"" (A1370)",
110,"MacBook Pro 15"" (A1286)",macbook-repair,"MacBook Pro 15"" (A1286)","MacBook Pro 15"" (A1286)","MacBook Pro 15"" (A1286)",
111,"MacBook Air 11.6"" (A1465)",macbook-repair,"MacBook Air 11.6"" (A1465)","MacBook Air 11.6"" (A1465)","MacBook Air 11.6"" (A1465)",
112,"MacBook 13"" (A1181)",macbook-repair,"MacBook 13"" (A1181)","MacBook 13"" (A1181)","MacBook 13"" (A1181)",
113,"Samsung Galaxy S5 Repair",samsung-galaxy-repair,"Samsung Galaxy S5 Repair","Samsung Galaxy S5 Repair","Samsung Galaxy S5 Repair",
114,"Samsung Galaxy S5 Mini Repair",samsung-galaxy-repair,"Samsung Galaxy S5 Mini Repair","Samsung Galaxy S5 Mini Repair","Samsung Galaxy S5 Mini Repair",
115,"Samsung Galaxy S6 Edge Repair",samsung-galaxy-repair,"Samsung Galaxy S6 Edge Repair","Samsung Galaxy S6 Edge Repair","Samsung Galaxy S6 Edge Repair",
116,"Samsung Galaxy S6 Repair",samsung-galaxy-repair,"Samsung Galaxy S6 Repair","Samsung Galaxy S6 Repair","Samsung Galaxy S6 Repair",
117,"Samsung Galaxy S7 Repair",samsung-galaxy-repair,"Samsung Galaxy S7 Repair","Samsung Galaxy S7 Repair","Samsung Galaxy S7 Repair",
118,"Samsung Galaxy S6 Edge+ Repair",samsung-galaxy-repair,"Samsung Galaxy S6 Edge+ Repair","Samsung Galaxy S6 Edge+ Repair","Samsung Galaxy S6 Edge+ Repair",
119,"Samsung Galaxy S8 Repairs",samsung-galaxy-repair,"Samsung Galaxy S8 Repairs","Samsung Galaxy S8 Repairs","Samsung Galaxy S8 Repairs",
120,"MacBook Pro 13"" Retina Display (A1502)",macbook-repair,"MacBook Pro 13"" Retina Display (A1502)","MacBook Pro 13"" Retina Display (A1502)","MacBook Pro 13"" Retina Display (A1502)",
121,"Samsung Galaxy S8 Active Repair",samsung-galaxy-repair,"Samsung Galaxy S8 Active Repair","Samsung Galaxy S8 Active Repair","Samsung Galaxy S8 Active Repair",
122,"Samsung Galaxy S8 Plus Repairs",samsung-galaxy-repair,"Samsung Galaxy S8 Plus Repairs","Samsung Galaxy S8 Plus Repairs","Samsung Galaxy S8 Plus Repairs",
123,"Samsung Galaxy S7 Edge Repair",samsung-galaxy-repair,"Samsung Galaxy S7 Edge Repair","Samsung Galaxy S7 Edge Repair","Samsung Galaxy S7 Edge Repair",
124,"Samsung Galaxy S9 Repair",samsung-galaxy-repair,"Samsung Galaxy S9 Repair","Samsung Galaxy S9 Repair","Samsung Galaxy S9 Repair",
125,"Samsung Galaxy S9+ Repair",samsung-galaxy-repair,"Samsung Galaxy S9+ Repair","Samsung Galaxy S9+ Repair","Samsung Galaxy S9+ Repair",
126,"Samsung Galaxy S10 Plus Repair",samsung-galaxy-repair,"Samsung Galaxy S10 Plus Repair","Samsung Galaxy S10 Plus Repair","Samsung Galaxy S10 Plus Repair",
127,"HTC One X10 Repairs",one-series-repair,"HTC One X10 Repairs","HTC One X10 Repairs","HTC One X10 Repairs",
128,"HTC One ME Repairs",one-series-repair,"HTC One ME Repairs","HTC One ME Repairs","HTC One ME Repairs",
129,"Samsung Galaxy S20 Repair",samsung-galaxy-repair,"Samsung Galaxy S20 Repair","Samsung Galaxy S20 Repair","Samsung Galaxy S20 Repair",
130,"Samsung Galaxy S10 Repair",samsung-galaxy-repair,"Samsung Galaxy S10 Repair","Samsung Galaxy S10 Repair","Samsung Galaxy S10 Repair",
131,"HTC One Max Repair",one-series-repair,"HTC One Max Repair","HTC One Max Repair","HTC One Max Repair",
132,"HTC One M9 Repair",one-series-repair,"HTC One M9 Repair","HTC One M9 Repair","HTC One M9 Repair",
133,"HTC One M9+ Repairs",one-series-repair,"HTC One M9+ Repairs","HTC One M9+ Repairs","HTC One M9+ Repairs",
134,"HTC One M8 Repair",one-series-repair,"HTC One M8 Repair","HTC One M8 Repair","HTC One M8 Repair",
135,"HTC One M7 (801n) Repair",one-series-repair,"HTC One M7 (801n) Repair","HTC One M7 (801n) Repair","HTC One M7 (801n) Repair",
136,"HTC One E9+ Repairs",one-series-repair,"HTC One E9+ Repairs","HTC One E9+ Repairs","HTC One E9+ Repairs",
137,"iPad Mini 3 Repair",ipad-repairs,"iPad Mini 3 Repair","iPad Mini 3 Repair","iPad Mini 3 Repair",
138,"HTC One E8 Repairs",one-series-repair,"HTC One E8 Repairs","HTC One E8 Repairs","HTC One E8 Repairs",
139,"HTC One A9s Repairs",one-series-repair,"HTC One A9s Repairs","HTC One A9s Repairs","HTC One A9s Repairs",
140,"iPad Mini 2019 Repairs",ipad-repairs,"iPad Mini 2019 Repairs","iPad Mini 2019 Repairs","iPad Mini 2019 Repairs",
141,"iPad Mini 4 Repair",ipad-repairs,"iPad Mini 4 Repair","iPad Mini 4 Repair","iPad Mini 4 Repair",
142,"iPad Pro 11"" (2018) Repair",ipad-repairs,"iPad Pro 11"" (2018) Repair","iPad Pro 11"" (2018) Repair","iPad Pro 11"" (2018) Repair",
143,"HTC One A9 Repair",one-series-repair,"HTC One A9 Repair","HTC One A9 Repair","HTC One A9 Repair",
144,"iPad Pro 10.5 Repair",ipad-repairs,"iPad Pro 10.5 Repair","iPad Pro 10.5 Repair","iPad Pro 10.5 Repair",
145,"iPad Air 2 Repair",ipad-repairs,"iPad Air 2 Repair","iPad Air 2 Repair","iPad Air 2 Repair",
146,"iPad Air 2019 Repairs",ipad-repairs,"iPad Air 2019 Repairs","iPad Air 2019 Repairs","iPad Air 2019 Repairs",
147,"iPad Air Repair",ipad-repairs,"iPad Air Repair","iPad Air Repair","iPad Air Repair",
148,"iPad 9.7 2017 Repair",ipad-repairs,"iPad 9.7 2017 Repair","iPad 9.7 2017 Repair","iPad 9.7 2017 Repair",
149,"iPad Pro 12.9 (2018) Repair",ipad-repairs,"iPad Pro 12.9 (2018) Repair","iPad Pro 12.9 (2018) Repair","iPad Pro 12.9 (2018) Repair",
150,"iPad Pro 10.2 (2019) Repair",ipad-repairs,"iPad Pro 10.2 (2019) Repair","iPad Pro 10.2 (2019) Repair","iPad Pro 10.2 (2019) Repair",
151,"iPad 6th Gen 2018 9.7"" Repairs",ipad-repairs,"iPad 6th Gen 2018 9.7"" Repairs","iPad 6th Gen 2018 9.7"" Repairs","iPad 6th Gen 2018 9.7"" Repairs",
152,"iPad Pro 11 (2020) Repair",ipad-repairs,"iPad Pro 11 (2020) Repair","iPad Pro 11 (2020) Repair","iPad Pro 11 (2020) Repair",
153,"Sony Xperia XA1 Ultra Repairs",sony-xperia-repair,"Sony Xperia XA1 Ultra Repairs","Sony Xperia XA1 Ultra Repairs","Sony Xperia XA1 Ultra Repairs",
154,"Sony Xperia X Performance Repairs",sony-xperia-repair,"Sony Xperia X Performance Repairs","Sony Xperia X Performance Repairs","Sony Xperia X Performance Repairs",
155,"Sony Xperia X Compact Repairs",sony-xperia-repair,"Sony Xperia X Compact Repairs","Sony Xperia X Compact Repairs","Sony Xperia X Compact Repairs",
156,"Sony Xperia XA Ultra Repairs",sony-xperia-repair,"Sony Xperia XA Ultra Repairs","Sony Xperia XA Ultra Repairs","Sony Xperia XA Ultra Repairs",
157,"Sony Xperia U Repair",sony-xperia-repair,"Sony Xperia U Repair","Sony Xperia U Repair","Sony Xperia U Repair",
158,"Sony Xperia T3 Repair",sony-xperia-repair,"Sony Xperia T3 Repair","Sony Xperia T3 Repair","Sony Xperia T3 Repair",
159,"Sony Xperia X Repair",sony-xperia-repair,"Sony Xperia X Repair","Sony Xperia X Repair","Sony Xperia X Repair",
160,"Sony Xperia T2 Ultra Repair",sony-xperia-repair,"Sony Xperia T2 Ultra Repair","Sony Xperia T2 Ultra Repair","Sony Xperia T2 Ultra Repair",
161,"Sony Xperia XA1 Plus Repairs",sony-xperia-repair,"Sony Xperia XA1 Plus Repairs","Sony Xperia XA1 Plus Repairs","Sony Xperia XA1 Plus Repairs",
162,"Sony Xperia T2 Repair",sony-xperia-repair,"Sony Xperia T2 Repair","Sony Xperia T2 Repair","Sony Xperia T2 Repair",
163,"Sony Xperia C4 Repair",sony-xperia-repair,"Sony Xperia C4 Repair","Sony Xperia C4 Repair","Sony Xperia C4 Repair",
164,"Sony Xperia ZR Repairs",sony-xperia-z-series-repair,"Sony Xperia ZR Repairs","Sony Xperia ZR Repairs","Sony Xperia ZR Repairs",
165,"Sony Xperia ZL Repairs",sony-xperia-z-series-repair,"Sony Xperia ZL Repairs","Sony Xperia ZL Repairs","Sony Xperia ZL Repairs",
166,"iPad Pro 12.9 (2020) Repair",ipad-repairs,"iPad Pro 12.9 (2020) Repair","iPad Pro 12.9 (2020) Repair","iPad Pro 12.9 (2020) Repair",
167,"Sony Xperia Z Repair",sony-xperia-z-series-repair,"Sony Xperia Z Repair","Sony Xperia Z Repair","Sony Xperia Z Repair",
168,"Sony Xperia Z1 Repair",sony-xperia-z-series-repair,"Sony Xperia Z1 Repair","Sony Xperia Z1 Repair","Sony Xperia Z1 Repair",
169,"Sony Xperia Z Ultra Repair",sony-xperia-z-series-repair,"Sony Xperia Z Ultra Repair","Sony Xperia Z Ultra Repair","Sony Xperia Z Ultra Repair",
