Model_ID,Model_Icon,Model_Title,Model_Price,Field_ID,Field_Title,Field_Item_ID,Field_Item_Title,Field_Item_Price
,,,,,,1954,"Water Damage Diagnose",0
,,,,535,"What color is your iPhone X?",1955,Gold,0
,,,,,,1956,Silver,0
,,,,,,1957,"Space Grey",0
23,20180217061542.png,"iPad Pro 12.9",0,536,"iPhone X Repair Options",1958,"Front Display Screen Replacement",399
,,,,,,1959,"Back Glass Replacement",499
,,,,,,1960,"Battery Replacement",199
,,,,,,1961,"Multiple Issues",0
,,,,,,1962,"Water Damage Diagnose",0
,,,,537,"What color is your iPhone X?",1963,Gold,0
,,,,,,1964,Silver,0
,,,,,,1965,"Space Grey",0
24,20180217061646.png,"iPad 4",0,538,"iPad 4 repair",1966,"Screen broken or touch defective",9900
,,,,,,1967,"Replace LCD",12900
,,,,,,1968,"Replace back cover",14000
,,,,,,1969,Microphone,9900
,,,,,,1970,Speaker,9900
,,,,,,1971,"Wifi reception",9900
,,,,,,1972,"Audio jack",9900
,,,,,,1973,"Dock connector (charge)",9900
,,,,,,1974,"Replace button (power, home, volume, mute)",9900
,,,,,,1975,"Replace camera front",9900
,,,,,,1976,"Replace camera back",9900
,,,,,,1977,"Replace battery",9900
25,20180319165547.png,"iPhone 8 A1863 A1905 A1906",0,539,"iPhone X Repair Options",1978,"Front Display Screen Replacement",399
,,,,,,1979,"Back Glass Replacement",499
,,,,,,1980,"Battery Replacement",199
,,,,,,1981,"Multiple Issues",0
,,,,,,1982,"Water Damage Diagnose",0
,,,,540,"What color is your iPhone X?",1983,Gold,0
,,,,,,1984,Silver,0
,,,,,,1985,"Space Grey",0
26,20180319165801.png,"iPhone 7 Plus A1661 A1784 A1785",0,541,"iPhone X Repair Options",1986,"Front Display Screen Replacement",399
,,,,,,1987,"Back Glass Replacement",499
,,,,,,1988,"Battery Replacement",199
,,,,,,1989,"Multiple Issues",0
,,,,,,1990,"Water Damage Diagnose",0
,,,,542,"What color is your iPhone X?",1991,Gold,0
,,,,,,1992,Silver,0
,,,,,,1993,"Space Grey",0
27,20180319165912.png,"iPhone 7 A1660 A1778 A1779",0,543,"iPhone X Repair Options",1994,"Front Display Screen Replacement",399
,,,,,,1995,"Back Glass Replacement",499
,,,,,,1996,"Battery Replacement",199
,,,,,,1997,"Multiple Issues",0
,,,,,,1998,"Water Damage Diagnose",0
,,,,544,"What color is your iPhone X?",1999,Gold,0
,,,,,,2000,Silver,0
,,,,,,2001,"Space Grey",0
28,20180319170018.png,"iPhone 6S Plus A1634 A1687 A1699",0,545,"iPhone X Repair Options",2002,"Front Display Screen Replacement",399
,,,,,,2003,"Back Glass Replacement",499
,,,,,,2004,"Battery Replacement",199
,,,,,,2005,"Multiple Issues",0
,,,,,,2006,"Water Damage Diagnose",0
,,,,546,"What color is your iPhone X?",2007,Gold,0
,,,,,,2008,Silver,0
,,,,,,2009,"Space Grey",0
29,20180324221123.png,"iPhone 6S - A1633 A1688 A1700",0,547,"iPhone X Repair Options",2010,"Front Display Screen Replacement",399
,,,,,,2011,"Back Glass Replacement",499
,,,,,,2012,"Battery Replacement",199
,,,,,,2013,"Multiple Issues",0
,,,,,,2014,"Water Damage Diagnose",0
,,,,548,"What color is your iPhone X?",2015,Gold,0
,,,,,,2016,Silver,0
,,,,,,2017,"Space Grey",0
30,20180324221515.png,"iPhone 6 - A1549 A1586 A1589 ",0,549,"iPhone X Repair Options",2018,"Front Display Screen Replacement",399
,,,,,,2019,"Back Glass Replacement",499
,,,,,,2020,"Battery Replacement",199
,,,,,,2021,"Multiple Issues",0
,,,,,,2022,"Water Damage Diagnose",0
,,,,550,"What color is your iPhone X?",2023,Gold,0
,,,,,,2024,Silver,0
,,,,,,2025,"Space Grey",0
31,20180324221851.png,"iPhone 6 Plus - A1522 A1524 A1593",0,892,"iPhone X Repair Options",2865,"Front Display Screen Replacement",399
,,,,,,2866,"Back Glass Replacement",499
,,,,,,2867,"Battery Replacement",199
,,,,,,2868,"Multiple Issues",0
,,,,,,2869,"Water Damage Diagnose",0
,,,,893,"What color is your iPhone X?",2870,Gold,0
,,,,,,2871,Silver,0
,,,,,,2872,"Space Grey",0
,,,,894,Checkboxes,2873,"Option 1",10
,,,,,,2874,"Option 2",20
,,,,895,Radio,2875,"Option 1",10
,,,,,,2876,"Option 2",20
32,20180324222329.png,"iPhone 5SE - A1662 A1726 A1724",0,553,"iPhone X Repair Options",2034,"Front Display Screen Replacement",399
,,,,,,2035,"Back Glass Replacement",499
,,,,,,2036,"Battery Replacement",199
,,,,,,2037,"Multiple Issues",0
,,,,,,2038,"Water Damage Diagnose",0
,,,,554,"What color is your iPhone X?",2039,Gold,0
,,,,,,2040,Silver,0
,,,,,,2041,"Space Grey",0
33,20180324222615.png,"iPhone 5S Repair - A1533 A1453",0,555,"iPhone X Repair Options",2042,"Front Display Screen Replacement",399
,,,,,,2043,"Back Glass Replacement",499
,,,,,,2044,"Battery Replacement",199
,,,,,,2045,"Multiple Issues",0
,,,,,,2046,"Water Damage Diagnose",0
,,,,556,"What color is your iPhone X?",2047,Gold,0
,,,,,,2048,Silver,0
,,,,,,2049,"Space Grey",0
34,20180324222840.png,"iPhone 5C - A1532 A1456",0,557,"iPhone X Repair Options",2050,"Front Display Screen Replacement",399
,,,,,,2051,"Back Glass Replacement",499
,,,,,,2052,"Battery Replacement",199
,,,,,,2053,"Multiple Issues",0
,,,,,,2054,"Water Damage Diagnose",0
,,,,558,"What color is your iPhone X?",2055,Gold,0
,,,,,,2056,Silver,0
,,,,,,2057,"Space Grey",0
35,20180324223146.png,"iPhone 5 - A1428 A1429",0,971,"iPhone X Repair Options",3053,"Front Display Screen Replacement",399
,,,,,,3054,"Back Glass Replacement",499
,,,,,,3055,"Battery Replacement",199
,,,,,,3056,"Multiple Issues",0
,,,,,,3057,"Water Damage Diagnose",0
,,,,972,"What color is your iPhone X?",3058,Gold,0
,,,,,,3059,Silver,0
,,,,,,3060,"Space Grey",0
36,20180324223448.png,"iPhone 4S - A1387",0,908,"iPhone X Repair Options",2905,"Front Display Screen Replacement",399
,,,,,,2906,"Back Glass Replacement",499
,,,,,,2907,"Battery Replacement",199
,,,,,,2908,"Multiple Issues",0
,,,,,,2909,"Water Damage Diagnose",0
,,,,909,"What color is your iPhone X?",2910,Gold,0
,,,,,,2911,Silver,0
,,,,,,2912,"Space Grey",0
37,20180324223815.png,"Samsng S8 Plus - G955",0,565,"iPhone X Repair Options",2082,"Front Display Screen Replacement",399
,,,,,,2083,"Back Glass Replacement",499
,,,,,,2084,"Battery Replacement",199
,,,,,,2085,"Multiple Issues",0
,,,,,,2086,"Water Damage Diagnose",0
,,,,566,"What color is your iPhone X?",2087,Gold,0
,,,,,,2088,Silver,0
,,,,,,2089,"Space Grey",0
38,20180324224111.png,"Samsung S8 - G950",0,567,"iPhone X Repair Options",2090,"Front Display Screen Replacement",399
,,,,,,2091,"Back Glass Replacement",499
,,,,,,2092,"Battery Replacement",199
,,,,,,2093,"Multiple Issues",0
,,,,,,2094,"Water Damage Diagnose",0
,,,,568,"What color is your iPhone X?",2095,Gold,0
,,,,,,2096,Silver,0
,,,,,,2097,"Space Grey",0
39,20180324224328.png,"Samsung S7 Edge - G935",0,569,"iPhone X Repair Options",2098,"Front Display Screen Replacement",399
,,,,,,2099,"Back Glass Replacement",499
,,,,,,2100,"Battery Replacement",199
,,,,,,2101,"Multiple Issues",0
,,,,,,2102,"Water Damage Diagnose",0
,,,,570,"What color is your iPhone X?",2103,Gold,0
,,,,,,2104,Silver,0
,,,,,,2105,"Space Grey",0
40,20180324224615.png,"Samsung S7 - G930",0,571,"iPhone X Repair Options",2106,"Front Display Screen Replacement",399
,,,,,,2107,"Back Glass Replacement",499
,,,,,,2108,"Battery Replacement",199
,,,,,,2109,"Multiple Issues",0
,,,,,,2110,"Water Damage Diagnose",0
,,,,572,"What color is your iPhone X?",2111,Gold,0
,,,,,,2112,Silver,0
,,,,,,2113,"Space Grey",0
41,20180324225050.png,"Samsung S6 Edge Plus - G928",0,573,"iPhone X Repair Options",2114,"Front Display Screen Replacement",399
,,,,,,2115,"Back Glass Replacement",499
,,,,,,2116,"Battery Replacement",199
,,,,,,2117,"Multiple Issues",0
,,,,,,2118,"Water Damage Diagnose",0
,,,,574,"What color is your iPhone X?",2119,Gold,0
,,,,,,2120,Silver,0
,,,,,,2121,"Space Grey",0
42,20180324225619.png,"Samsung S6 Edge - G925",0,575,"iPhone X Repair Options",2122,"Front Display Screen Replacement",399
,,,,,,2123,"Back Glass Replacement",499
,,,,,,2124,"Battery Replacement",199
,,,,,,2125,"Multiple Issues",0
,,,,,,2126,"Water Damage Diagnose",0
,,,,576,"What color is your iPhone X?",2127,Gold,0
,,,,,,2128,Silver,0
,,,,,,2129,"Space Grey",0
43,20180324225842.png,"Samsung S5 - G900",0,577,"iPhone X Repair Options",2130,"Front Display Screen Replacement",399
,,,,,,2131,"Back Glass Replacement",499
,,,,,,2132,"Battery Replacement",199
,,,,,,2133,"Multiple Issues",0
,,,,,,2134,"Water Damage Diagnose",0
,,,,578,"What color is your iPhone X?",2135,Gold,0
,,,,,,2136,Silver,0
,,,,,,2137,"Space Grey",0
44,20180324232904.png,"Samsung Note 8 - SM-950",100,625,"iPhone X Repair Options",2322,"Front Display Screen Replacement",399
,,,,,,2323,"Back Glass Replacement",499
,,,,,,2324,"Battery Replacement",199
,,,,,,2325,"Multiple Issues",0
,,,,,,2326,"Water Damage Diagnose",0
,,,,626,"What color is your iPhone X?",2327,Gold,0
,,,,,,2328,Silver,0
,,,,,,2329,"Space Grey",0
45,20180324233052.png,"Samsung Note 5 - SM-920",100,623,"iPhone X Repair Options",2314,"Front Display Screen Replacement",399
,,,,,,2315,"Back Glass Replacement",499
,,,,,,2316,"Battery Replacement",199
,,,,,,2317,"Multiple Issues",0
,,,,,,2318,"Water Damage Diagnose",0
,,,,624,"What color is your iPhone X?",2319,Gold,0
,,,,,,2320,Silver,0
,,,,,,2321,"Space Grey",0
46,20180324233317.png,"Samsung Note 4 - SM-N910",100,621,"iPhone X Repair Options",2306,"Front Display Screen Replacement",399
,,,,,,2307,"Back Glass Replacement",499
,,,,,,2308,"Battery Replacement",199
,,,,,,2309,"Multiple Issues",0
,,,,,,2310,"Water Damage Diagnose",0
,,,,622,"What color is your iPhone X?",2311,Gold,0
,,,,,,2312,Silver,0
,,,,,,2313,"Space Grey",0
47,20180324233527.png,"Samsung Note 3 - SM-900",100,619,"iPhone X Repair Options",2298,"Front Display Screen Replacement",399
,,,,,,2299,"Back Glass Replacement",499
,,,,,,2300,"Battery Replacement",199
,,,,,,2301,"Multiple Issues",0
,,,,,,2302,"Water Damage Diagnose",0
,,,,620,"What color is your iPhone X?",2303,Gold,0
,,,,,,2304,Silver,0
,,,,,,2305,"Space Grey",0
48,20180324230334.png,"iPad Air 2 - A1566 A1567",100,617,"iPhone X Repair Options",2290,"Front Display Screen Replacement",399
,,,,,,2291,"Back Glass Replacement",499
,,,,,,2292,"Battery Replacement",199
,,,,,,2293,"Multiple Issues",0
,,,,,,2294,"Water Damage Diagnose",0
,,,,618,"What color is your iPhone X?",2295,Gold,0
,,,,,,2296,Silver,0
,,,,,,2297,"Space Grey",0
49,20180324230638.png,"Ipad Test Demo",100,1210,"Radio Option title",3553,"Front Display Screen Replacement",399
,,,,,,3554,"Back Glass Replacement",499
,,,,,,3555,"Battery Replacement",199
,,,,,,3556,"Multiple Issues",0
,,,,,,3557,"Water Damage Diagnose",0
,,,,1211,"drop down list",3558,Gold,0
,,,,,,3559,Silver,0
,,,,,,3560,"Space Grey",0
,,,,1214,"check box list",3561,"Option 1",12
,,,,,,3562,"option 2 ",15
50,20180324233850.png,"iPad Mini 4G - A1538 A1550",100,613,"iPhone X Repair Options",2274,"Front Display Screen Replacement",399
,,,,,,2275,"Back Glass Replacement",499
,,,,,,2276,"Battery Replacement",199
,,,,,,2277,"Multiple Issues",0
,,,,,,2278,"Water Damage Diagnose",0
,,,,614,"What color is your iPhone X?",2279,Gold,0
,,,,,,2280,Silver,0
,,,,,,2281,"Space Grey",0
51,20180324234132.png,"iPad Mini 3G - A1599 A1600 A1601",100,1152,"iPhone X Repair Options",3417,"Front Display Screen Replacement",399
,,,,,,3418,"Back Glass Replacement",499
,,,,,,3419,"Battery Replacement",199
,,,,,,3420,"Multiple Issues",0
,,,,,,3421,"Water Damage Diagnose",0
,,,,1153,"What color is your iPhone X?",3422,Gold,0
,,,,,,3423,Silver,0
,,,,,,3424,"Space Grey",0
52,20180324234406.png,"iPad Mini 2G - A1489 A1490 A1491",1000,605,"iPhone X Repair Options",2242,"Front Display Screen Replacement",399
,,,,,,2243,"Back Glass Replacement",499
,,,,,,2244,"Battery Replacement",199
,,,,,,2245,"Multiple Issues",0
,,,,,,2246,"Water Damage Diagnose",0
,,,,606,"What color is your iPhone X?",2247,Gold,0
,,,,,,2248,Silver,0
,,,,,,2249,"Space Grey",0
53,20180324234606.png,"iPad Mini 1G",1000,825,"iPhone X Repair Options",2709,"Front Display Screen Replacement",399
,,,,,,2710,"Back Glass Replacement",499
,,,,,,2711,"Battery Replacement",199
,,,,,,2712,"Multiple Issues",0
,,,,,,2713,"Water Damage Diagnose",0
,,,,826,"What color is your iPhone X?",2714,Gold,0
,,,,,,2715,Silver,0
,,,,,,2716,"Space Grey",0
54,20180324232508.png,"LG G6 Repair",100,627,"iPhone X Repair Options",2330,"Front Display Screen Replacement",399
,,,,,,2331,"Back Glass Replacement",499
,,,,,,2332,"Battery Replacement",199
,,,,,,2333,"Multiple Issues",0
,,,,,,2334,"Water Damage Diagnose",0
,,,,628,"What color is your iPhone X?",2335,Gold,0
,,,,,,2336,Silver,0
,,,,,,2337,"Space Grey",0
55,20180324232310.png,"LG G5",100,629,"iPhone X Repair Options",2338,"Front Display Screen Replacement",399
,,,,,,2339,"Back Glass Replacement",499
,,,,,,2340,"Battery Replacement",199
,,,,,,2341,"Multiple Issues",0
,,,,,,2342,"Water Damage Diagnose",0
,,,,630,"What color is your iPhone X?",2343,Gold,0
,,,,,,2344,Silver,0
,,,,,,2345,"Space Grey",0
56,20180324231854.png,"LG G4 Repair",100,631,"iPhone X Repair Options",2346,"Front Display Screen Replacement",399
,,,,,,2347,"Back Glass Replacement",499
,,,,,,2348,"Battery Replacement",199
,,,,,,2349,"Multiple Issues",0
,,,,,,2350,"Water Damage Diagnose",0
,,,,632,"What color is your iPhone X?",2351,Gold,0
,,,,,,2352,Silver,0
,,,,,,2353,"Space Grey",0
57,20180324231114.png,"LG G3 Repair",100,633,"iPhone X Repair Options",2354,"Front Display Screen Replacement",399
,,,,,,2355,"Back Glass Replacement",499
,,,,,,2356,"Battery Replacement",199
,,,,,,2357,"Multiple Issues",0
,,,,,,2358,"Water Damage Diagnose",0
,,,,634,"What color is your iPhone X?",2359,Gold,0
,,,,,,2360,Silver,0
,,,,,,2361,"Space Grey",0
58,20180324230902.png,"LG G2 Repair",100,635,"iPhone X Repair Options",2362,"Front Display Screen Replacement",399
,,,,,,2363,"Back Glass Replacement",499
,,,,,,2364,"Battery Replacement",199
,,,,,,2365,"Multiple Issues",0
,,,,,,2366,"Water Damage Diagnose",0
,,,,636,"What color is your iPhone X?",2367,Gold,0
,,,,,,2368,Silver,0
,,,,,,2369,"Space Grey",0
62,,samsung,10,875,"samsung Repair",2812,"Option 1",0
,,,,876,"battery replacement",2813,"Option 1",0
,,,,,,2814,"option 2 ",0
70,20180322211601.png,"iPhone X - A1865 A1901 A1902 - Copy",10000,958,"iPhone X Repair Options",3025,"Front Display Screen Replacement",399
,,,,,,3026,"Back Glass Replacement",499
,,,,,,3027,"Battery Replacement",199
,,,,,,3028,"Multiple Issues",0
,,,,,,3029,"Water Damage Diagnose",0
,,,,,,3030,dfsdfsd,12
,,,,959,"battery replacement",3031,"Option 1",10
,,,,,,3032,"option 2",20
,,,,960,"What color is your iPhone X?",3033,Gold,0
,,,,,,3034,Silver,0
,,,,,,3035,"Space Grey",0
,,,,961,Checkboxes,3036,"Option 1",10
,,,,,,3037,"Option 2",15
,,,,,,3038,"Option 3",20
,,,,638,"What color is your TV?",2370,"Space Grey",500
,,,,,,2371,Silver,300
,,,,640,"What color is your TV?",2372,"Space Grey",600
,,,,,,2373,Silver,500
